store,address,zip,status,updated,long,lat
Hyde Park Produce,1226 E 53RD ST,60615,OPEN,6/10/2020 0:00,-87.595593,41.799496
Jewel - Osco,424 W Division St,60610-3190,OPEN,6/3/2020 17:00,-87.639626,41.903827
Andy's Fruit Ranch,4733 N KEDZIE AVE,60625,OPEN,6/10/2020 0:00,-87.708464,41.967651
Mariano's Fresh Market,5201 N Sheridan Rd,60640,OPEN,6/5/2020 13:21,-87.655022,41.976906
Target,1346 E 53rd St,60615-4046,OPEN,6/5/2020 13:21,-87.593095,41.799527
Mariano's Fresh Market,1800 West Lawrence Ave.,60640,OPEN,6/5/2020 13:21,-87.675062,41.968858
Fairplay Neighborhood Market,2323 W 111th St.,60643,OPEN,6/4/2020 15:00,-87.680391,41.691788
Pete's Fresh Market,3448 E 118th St.,60617,OPEN,6/4/2020 15:00,-87.540984,41.680947
Tony's Finer Foods,5630 W. Belmont Ave,60634,OPEN,6/4/2020 15:00,-87.76795,41.938567
Stumpy's Grocery & Deli,9001 S ASHLAND AVE,60620,OPEN,6/10/2020 0:00,-87.662846,41.730156
Devon Market,1440 W Devon Ave,60660,OPEN,6/4/2020 15:00,-87.667512,41.998125
Whole Foods Market,255 E Grand Ave,60611-3315,OPEN,6/4/2020 15:00,-87.621346,41.891801
Target,1154 S Clark St,60605-2159,OPEN,6/10/2020 0:00,-87.630528,41.867843
Mariano's Fresh Market,2112 N Ashland,60614,OPEN,6/5/2020 13:21,-87.668539,41.920702
Tony's Finer Foods,4137 N. Elston Ave,60618,OPEN,6/4/2020 15:00,-87.72213,41.955747
Los Cuatro Hermanos Grocery,1858 S ALLPORT ST,60608,OPEN,6/10/2020 0:00,-87.657622,41.856653
Target,7100 S Cicero Ave,60629-5891,OPEN,6/5/2020 13:21,-87.742015,41.764792
Park to Shop Supermarket Broadway,4879 N BROADWAY,60640,OPEN,6/10/2020 0:00,-87.659728,41.971045
Dill Pickle Food Co-op,2746 N MILWAUKEE AVE,60647,OPEN,6/10/2020 0:00,-87.710541,41.930966
Target,4433 S Pulaski Rd,60632-4010,OPEN,6/10/2020 0:00,-87.723656,41.812519
Moses Butcher Shop,5057 W DIVISION ST,60651,OPEN,,-87.752533,41.902306
Jewel - Osco,4660 W Irving Park Rd,60641-2888,OPEN,6/3/2020 17:00,-87.744868,41.953468
Mariano's Fresh Market,3350 North Western Avenue,60618,OPEN,6/5/2020 13:21,-87.688178,41.942805
Happy Foods - Edgebrook,6415 N Central Ave,60646,OPEN,6/4/2020 15:00,-87.763514,41.998118
Target,2656 N Elston Ave,60647-2019,OPEN,6/5/2020 13:21,-87.683798,41.929451
Trader Joe's,667 W DIVERSEY PKWY,60614,OPEN,6/10/2020 0:00,-87.645939,41.932807
Ogies Food,2600 W LITHUANIAN PLAZA CT,60629,OPEN,6/10/2020 0:00,-87.688311,41.768259
Walmart,10900 S Doty Ave,60628-3804,OPEN,6/10/2020 0:00,-87.596618,41.696117
Walmart,7535 S Ashland Ave,60620-4246,CLOSED,6/10/2020 0:00,-87.663538,41.756362
Cermak Produce,1711 W Cermak,60608,OPEN,6/4/2020 15:00,-87.669358,41.852296
Cermak Produce,3033 S Halsted St.,60608,OPEN,6/4/2020 15:00,-87.646295,41.838836
